Supervisor,País,Receita EUD,Receita Total
Tedman,China,$557.69,$8138.77
Ivonne,Thailand,$750.91,$7801.07
Laney,Botswana,$841.71,$1976.25
Rex,China,$579.89,$9974.79
Brnaby,China,$331.23,$1978.97
Duffy,Portugal,$14.96,$8521.00
Magda,Italy,$1.38,$4040.68
Thatch,Saudi Arabia,$664.20,$1679.45
Derick,China,$381.46,$2424.53
Thorsten,Indonesia,$676.56,$4643.20
Isidora,Thailand,$623.17,$3069.51
Adriano,China,$845.33,$6805.48
Clovis,Cuba,$276.76,$6602.54
Rory,China,$488.19,$1764.84
Edmund,France,$538.33,$7487.58
Richard,Canada,$235.35,$2221.11
Sayre,Philippines,$839.20,$1210.22
Vincents,China,$742.92,$9368.00
Hattie,Croatia,$321.24,$9760.58
Melodee,China,$452.41,$9392.37
Laryssa,Russia,$500.77,$7367.20
Delphinia,Czech Republic,$446.34,$3298.24
Yard,Egypt,$758.81,$4970.14
Cornall,Indonesia,$360.75,$8516.36
Abner,China,$600.82,$7782.44
Billye,Portugal,$284.98,$6363.23
Myriam,China,$943.78,$7936.22
Billy,China,$759.30,$2558.61
Andy,China,$36.20,$5703.19
Sasha,China,$988.85,$7888.28
Chrotoem,Mexico,$244.03,$4691.11
Ryley,Indonesia,$25.92,$8386.94
Beverlee,South Africa,$896.47,$3293.05
Germaine,China,$543.05,$7624.84
Consuela,Brazil,$646.85,$8627.48
Kenon,Peru,$405.51,$1388.53
Miriam,Indonesia,$20.62,$9864.65
Heindrick,France,$842.33,$4810.76
Allen,Czech Republic,$630.53,$8031.52
Gerladina,Yemen,$947.32,$2266.34
Esma,Argentina,$748.50,$9539.82
Nevil,Philippines,$649.54,$5456.78
Diandra,Afghanistan,$550.09,$6731.51
Griff,Russia,$798.66,$2683.83
Carlynn,Indonesia,$345.47,$7174.91
Ric,Haiti,$675.84,$7236.41
Dulsea,Brazil,$724.49,$1402.99
Becki,Palestinian Territory,$895.20,$7074.53
Marley,Poland,$684.25,$4336.23
Layla,China,$16.94,$4894.76
Isiahi,Malaysia,$328.36,$6149.82
Archibald,France,$27.94,$5838.56
Sissie,Brazil,$86.11,$8265.15
Kalle,Tajikistan,$527.22,$9064.77
Sanford,China,$969.52,$4120.23
Charla,China,$186.45,$5852.59
Giovanna,China,$921.23,$3184.02
Leticia,Central African Republic,$518.47,$2092.10
Roberta,Philippines,$778.74,$7946.32
Tris,Vietnam,$295.04,$1143.87
Emelyne,Sweden,$480.71,$1181.57
Sergei,Canada,$941.27,$3059.28
Francklyn,China,$60.74,$2344.72
Laurie,China,$168.86,$1373.13
Adara,Mexico,$926.14,$7150.68
Clea,Sweden,$958.61,$9433.49
Pandora,China,$16.38,$4489.83
Mikael,Poland,$31.03,$6175.70
Leoine,China,$683.55,$7939.06
Pierson,Indonesia,$655.02,$8373.52
Erny,Brazil,$393.76,$7822.66
Ade,China,$825.46,$9111.55
Maddie,Brazil,$868.00,$8221.90
Vera,Indonesia,$737.57,$7728.72
Juditha,Burundi,$229.22,$3481.33
Leonelle,Portugal,$699.12,$1938.95
Guido,Poland,$963.92,$2161.72
Johnny,Canada,$870.17,$2428.79
Willie,Indonesia,$40.87,$9520.40
Obediah,China,$126.77,$4334.25
Tommy,Brazil,$525.71,$7695.33
Ernst,Portugal,$314.85,$1864.96
Teodor,Indonesia,$884.80,$8933.54
Charity,Portugal,$84.48,$8251.69
Ellissa,China,$455.33,$3966.19
Richard,Russia,$253.23,$9416.86
Persis,Netherlands,$431.09,$6524.70
Regine,Denmark,$297.47,$1022.70
Sena,Sweden,$567.17,$1388.19
Alexei,Kazakhstan,$769.12,$6645.45
Shoshanna,Russia,$186.09,$1961.54
Wallis,China,$298.20,$2719.75
Jeramie,Costa Rica,$696.59,$9218.57
Terence,China,$697.53,$9750.18
Natividad,Peru,$734.87,$5019.15
Ford,Indonesia,$141.08,$5935.00
Symon,China,$118.61,$7520.19
Wyn,China,$431.25,$8172.78
Kristan,China,$35.49,$5902.23
Farleigh,Canada,$954.85,$3285.22
Karine,China,$258.22,$8845.43
Kristin,Norway,$672.99,$8832.93
Gerick,Madagascar,$523.82,$6070.84
Dilan,China,$719.72,$5842.35
Barry,Guatemala,$840.00,$2205.77
Danette,Vietnam,$968.76,$2404.46
Felike,Portugal,$838.10,$7861.36
Kirsti,Peru,$493.47,$7107.54
Maje,Czech Republic,$937.41,$3932.69
Kip,Indonesia,$481.59,$6401.59
Eal,South Africa,$296.93,$1857.99
Debbie,Philippines,$426.25,$4453.70
Lucho,Sweden,$549.03,$2960.09
Miltie,Serbia,$421.20,$9974.63
Winifield,China,$81.55,$3942.72
Fanya,Haiti,$185.80,$7867.49
Luz,Greece,$927.94,$7244.92
Jamie,China,$462.38,$5369.74
Cirillo,Dominican Republic,$728.96,$5734.23
Paxon,China,$579.47,$8728.72
Meryl,Yemen,$435.44,$2953.85
Rubina,France,$887.89,$5999.60
Anabel,Croatia,$765.97,$2447.94
Edlin,United States,$654.32,$7485.12
Shane,France,$622.43,$4083.61
Kelcy,Canada,$283.29,$9271.82
Fredia,Thailand,$692.42,$9079.76
Tine,Russia,$221.63,$5358.93
Peter,Kiribati,$36.52,$5497.61
Leese,Greece,$283.49,$7819.61
Bridgette,South Africa,$159.78,$9525.24
Kinna,United States,$323.28,$6957.91
Carmelina,Brazil,$126.45,$1305.46
Garrott,Indonesia,$309.06,$4298.91
Blake,Venezuela,$959.23,$3978.87
Shoshanna,Czech Republic,$736.76,$3604.78
Lucien,Albania,$326.29,$1748.13
Valaria,China,$300.39,$6493.48
Lowe,China,$441.18,$1370.26
Kristina,Armenia,$935.22,$7925.01
Brandon,Peru,$698.24,$6872.03
Thaine,Costa Rica,$340.28,$5934.19
Decca,United States,$394.75,$2833.05
Jamie,Portugal,$140.43,$1432.58
Euell,Philippines,$281.90,$9236.40
Cate,Russia,$97.68,$5027.73
Petronia,Russia,$768.30,$8239.36
Rebeca,China,$537.92,$1431.47
Cher,El Salvador,$543.38,$2042.10
Danna,Philippines,$702.76,$3960.73
Caesar,Nigeria,$878.23,$2142.51
Dorian,Czech Republic,$684.39,$8407.08
Myrvyn,Equatorial Guinea,$397.69,$5343.80
Giavani,Peru,$302.64,$2177.53
Yorgos,Argentina,$296.71,$9946.29
Valaree,Bangladesh,$745.66,$1409.44
Stan,Indonesia,$488.21,$9514.23
Marietta,Russia,$594.68,$2031.87
Raynard,China,$841.51,$5287.66
Jelene,Indonesia,$544.05,$4160.26
Erich,France,$813.38,$3808.93
Clemmie,Brazil,$73.78,$1554.37
Vivianne,Colombia,$922.76,$8998.56
Jessie,Morocco,$105.61,$7805.69
Davidde,Indonesia,$392.46,$2175.12
Lewie,China,$134.47,$7974.57
Dory,Canada,$364.33,$8497.22
Andrea,Senegal,$659.44,$4718.05
Abbot,Libya,$613.65,$9469.95
Kristine,Spain,$71.04,$4659.63
Jorrie,Russia,$409.09,$9825.41
Ronda,China,$963.00,$4681.57
Elsey,Mexico,$209.92,$2723.15
Dallas,Brazil,$578.24,$7152.69
Elka,Syria,$949.15,$4551.98
Cheslie,Vietnam,$465.22,$2830.99
Maggie,Bulgaria,$541.21,$2336.85
Nari,Estonia,$492.52,$3382.94
Chandler,Colombia,$613.62,$2903.92
Alvis,Lithuania,$276.01,$3520.12
Alexis,Dominican Republic,$58.28,$7836.11
Homer,Serbia,$336.81,$9209.62
Breanne,Philippines,$739.88,$9926.82
Winnifred,Uganda,$672.50,$6191.18
Sonja,China,$788.63,$2011.26
Faustine,China,$443.74,$3194.19
Adah,Poland,$525.36,$2757.77
Mikkel,Indonesia,$112.28,$6799.11
Lorettalorna,Vietnam,$79.61,$2566.66
Kayla,China,$547.58,$9669.72
Leupold,Russia,$819.08,$6775.95
Julia,China,$34.58,$8209.43
Nevil,Russia,$182.73,$4316.94
Granthem,Indonesia,$253.69,$4000.56
Ciel,Armenia,$130.34,$2621.34
Benjamin,Poland,$474.10,$5836.19
Allissa,Brazil,$439.07,$6132.80
Kin,China,$881.06,$9874.34
Gradeigh,Croatia,$689.74,$9688.94
Gwenneth,Philippines,$743.98,$5716.55
Teddie,Japan,$538.03,$3316.06
Katalin,Finland,$390.23,$9048.56
Kermy,Nigeria,$822.45,$1476.15
Tessa,Indonesia,$77.70,$3232.21
Alikee,Slovenia,$133.65,$7012.22
Holly-anne,Benin,$274.75,$9189.24
Milzie,Indonesia,$978.19,$3210.17
Harold,Iraq,$940.77,$1668.58
Trixie,Russia,$333.55,$6632.83
Kristien,Nepal,$422.63,$1212.13
Delores,Portugal,$868.47,$9789.72
Ira,Russia,$280.25,$2825.58
Ella,Japan,$651.03,$7475.07
Sonni,Philippines,$199.35,$1906.09
Pansy,China,$638.47,$5010.85
Hurley,Indonesia,$652.00,$2219.17
Tim,Iran,$490.15,$4712.48
Illa,Norway,$44.08,$6412.42
Kitty,Hungary,$992.79,$5484.02
Gardner,China,$8.31,$8405.68
Vanna,Greece,$550.68,$1595.48
Talbot,Indonesia,$861.01,$1294.18
Sandro,Portugal,$143.75,$8517.06
Faythe,China,$135.62,$9399.36
Cordie,China,$104.47,$3255.97
Aarika,Indonesia,$793.13,$8269.13
Iver,Russia,$894.33,$5236.98
Kaylil,China,$151.50,$1592.86
Maximo,Indonesia,$607.25,$5217.79
Consuela,China,$126.73,$6173.66
Sayers,Indonesia,$766.71,$9203.19
Alberta,Indonesia,$377.20,$3938.50
Roderic,China,$73.26,$8447.61
Ulrick,Czech Republic,$943.63,$3059.65
Georgette,China,$884.99,$9634.77
Olivia,Nigeria,$670.25,$3144.26
Carolina,China,$517.53,$2193.99
Web,China,$98.81,$2708.22
Constantina,Cameroon,$116.19,$7183.84
Tonie,Portugal,$131.87,$5615.22
Helsa,Nicaragua,$90.39,$7203.57
Rhonda,Indonesia,$696.17,$4812.26
Stanfield,Libya,$718.73,$7347.56
Rosemaria,Armenia,$110.93,$9497.18
Alford,Indonesia,$575.54,$9216.00
Pooh,Palau,$313.45,$3031.73
Annabela,Brazil,$394.64,$1105.99
Tally,China,$6.32,$9782.92
